"CLAVE","DESCRIP"
1,SE NEGO SIN JUSTIFICAR
2,REFIERE FALTA ESPACIO
3,REFIERE FALTA DE RECURSO MATERIAL
4,REFIERE FALTA DE RECURSO HUMANO
